MUNICIPIO REPORTE,Fecha,Casos_Dengue,Lluvia_mm,Poblacion
SAN VICENTE DEL CAGUAN,2020-06-01,8,417.0,69214
SAN VICENTE DEL CAGUAN,2020-07-01,16,246.0,69214
SAN VICENTE DEL CAGUAN,2020-08-01,4,215.0,69214
SAN VICENTE DEL CAGUAN,2020-09-01,4,205.0,69214
SAN VICENTE DEL CAGUAN,2020-10-01,3,135.0,69214
SAN VICENTE DEL CAGUAN,2020-11-01,4,387.0,69214
SAN VICENTE DEL CAGUAN,2020-12-01,2,162.0,69214
SAN VICENTE DEL CAGUAN,2021-01-01,2,216.0,69214
SAN VICENTE DEL CAGUAN,2021-02-01,5,110.0,69214
SAN VICENTE DEL CAGUAN,2021-03-01,2,409.0,69214
SAN VICENTE DEL CAGUAN,2021-04-01,6,417.0,69214
SAN VICENTE DEL CAGUAN,2021-05-01,4,493.0,69214
SAN VICENTE DEL CAGUAN,2021-06-01,3,288.0,69214
SAN VICENTE DEL CAGUAN,2021-07-01,2,309.0,69214
SAN VICENTE DEL CAGUAN,2021-08-01,3,144.0,69214
SAN VICENTE DEL CAGUAN,2021-09-01,3,175.0,69214
SAN VICENTE DEL CAGUAN,2021-10-01,5,188.0,69214
SAN VICENTE DEL CAGUAN,2021-11-01,4,201.0,69214
SAN VICENTE DEL CAGUAN,2021-12-01,5,214.0,69214
SAN VICENTE DEL CAGUAN,2022-01-01,3,227.0,69214
SAN VICENTE DEL CAGUAN,2022-02-01,13,240.0,69214
SAN VICENTE DEL CAGUAN,2022-03-01,29,253.0,69214
SAN VICENTE DEL CAGUAN,2022-04-01,46,266.0,69214
SAN VICENTE DEL CAGUAN,2022-05-01,48,279.0,69214
SAN VICENTE DEL CAGUAN,2022-06-01,19,292.0,69214
SAN VICENTE DEL CAGUAN,2022-07-01,20,314.0,69214
SAN VICENTE DEL CAGUAN,2022-08-01,3,186.0,69214
SAN VICENTE DEL CAGUAN,2022-09-01,2,304.0,69214
SAN VICENTE DEL CAGUAN,2022-10-01,4,515.0,69214
SAN VICENTE DEL CAGUAN,2022-11-01,6,256.0,69214
SAN VICENTE DEL CAGUAN,2022-12-01,2,33.0,69214
SAN VICENTE DEL CAGUAN,2023-01-01,14,152.0,69214
SAN VICENTE DEL CAGUAN,2023-02-01,22,130.0,69214
SAN VICENTE DEL CAGUAN,2023-03-01,20,405.0,69214
SAN VICENTE DEL CAGUAN,2023-04-01,29,280.0,69214
SAN VICENTE DEL CAGUAN,2023-05-01,38,539.0,69214
SAN VICENTE DEL CAGUAN,2023-06-01,39,518.0,69214
SAN VICENTE DEL CAGUAN,2023-07-01,56,372.0,69214
SAN VICENTE DEL CAGUAN,2023-08-01,48,214.0,69214
SAN VICENTE DEL CAGUAN,2023-09-01,25,215.0,69214
SAN VICENTE DEL CAGUAN,2023-10-01,22,139.0,69214
SAN VICENTE DEL CAGUAN,2023-11-01,21,134.0,69214
SAN VICENTE DEL CAGUAN,2023-12-01,21,227.0,69214
CARTAGENA DELCHAIRA,2018-01-01,0,203.85714285714286,33908
CARTAGENA DELCHAIRA,2018-02-01,1,51.228571428571435,33908
CARTAGENA DELCHAIRA,2018-03-01,0,384.83125,33908
CARTAGENA DELCHAIRA,2018-04-01,1,360.0,33908
CARTAGENA DELCHAIRA,2018-05-01,0,570.0,33908
CARTAGENA DELCHAIRA,2018-06-01,0,460.75,33908
CARTAGENA DELCHAIRA,2018-07-01,0,331.5,33908
CARTAGENA DELCHAIRA,2018-08-01,0,228.5,33908
CARTAGENA DELCHAIRA,2018-09-01,0,148.5,33908
CARTAGENA DELCHAIRA,2018-10-01,0,135.25,33908
CARTAGENA DELCHAIRA,2018-11-01,0,147.5,33908
CARTAGENA DELCHAIRA,2018-12-01,2,157.0,33908
CARTAGENA DELCHAIRA,2019-01-01,0,247.0,33908
CARTAGENA DELCHAIRA,2019-02-01,0,211.0,33908
CARTAGENA DELCHAIRA,2019-03-01,1,219.0,33908
CARTAGENA DELCHAIRA,2019-04-01,1,284.5,33908
CARTAGENA DELCHAIRA,2019-05-01,6,439.0,33908
CARTAGENA DELCHAIRA,2019-06-01,4,395.0,33908
CARTAGENA DELCHAIRA,2019-07-01,5,252.0,33908
CARTAGENA DELCHAIRA,2019-08-01,3,205.0,33908
CARTAGENA DELCHAIRA,2019-09-01,4,227.5,33908
CARTAGENA DELCHAIRA,2019-10-01,7,320.0,33908
CARTAGENA DELCHAIRA,2019-11-01,1,309.5,33908
CARTAGENA DELCHAIRA,2019-12-01,10,219.5,33908
CARTAGENA DELCHAIRA,2020-01-01,34,160.5,33908
CARTAGENA DELCHAIRA,2020-02-01,39,209.66666666666669,33908
CARTAGENA DELCHAIRA,2020-03-01,38,217.33333333333334,33908
CARTAGENA DELCHAIRA,2020-04-01,7,297.0,33908
CARTAGENA DELCHAIRA,2020-05-01,4,450.5,33908
CARTAGENA DELCHAIRA,2020-06-01,2,412.0,33908
CARTAGENA DELCHAIRA,2020-07-01,5,239.0,33908
CARTAGENA DELCHAIRA,2020-08-01,2,202.5,33908
CARTAGENA DELCHAIRA,2020-09-01,1,191.5,33908
CARTAGENA DELCHAIRA,2020-10-01,5,176.5,33908
CARTAGENA DELCHAIRA,2020-11-01,2,411.0,33908
CARTAGENA DELCHAIRA,2020-12-01,8,207.0,33908
CARTAGENA DELCHAIRA,2021-01-01,4,225.0,33908
CARTAGENA DELCHAIRA,2021-02-01,3,109.0,33908
CARTAGENA DELCHAIRA,2021-03-01,3,363.0,33908
CARTAGENA DELCHAIRA,2021-04-01,2,359.5,33908
CARTAGENA DELCHAIRA,2021-05-01,1,611.5,33908
CARTAGENA DELCHAIRA,2021-06-01,0,325.0,33908
CARTAGENA DELCHAIRA,2021-07-01,0,330.07142857142856,33908
CARTAGENA DELCHAIRA,2021-08-01,0,242.14285714285714,33908
CARTAGENA DELCHAIRA,2021-09-01,0,252.21428571428572,33908
CARTAGENA DELCHAIRA,2021-10-01,0,253.28571428571428,33908
CARTAGENA DELCHAIRA,2021-11-01,2,254.35714285714286,33908
CARTAGENA DELCHAIRA,2021-12-01,4,255.42857142857144,33908
CARTAGENA DELCHAIRA,2022-01-01,0,256.5,33908
CARTAGENA DELCHAIRA,2022-02-01,0,257.57142857142856,33908
CARTAGENA DELCHAIRA,2022-03-01,1,258.6428571428571,33908
CARTAGENA DELCHAIRA,2022-04-01,4,259.7142857142857,33908
CARTAGENA DELCHAIRA,2022-05-01,1,260.7857142857143,33908
CARTAGENA DELCHAIRA,2022-06-01,0,261.8571428571429,33908
CARTAGENA DELCHAIRA,2022-07-01,2,267.42857142857144,33908
CARTAGENA DELCHAIRA,2022-08-01,1,198.0,33908
CARTAGENA DELCHAIRA,2022-09-01,1,306.0,33908
CARTAGENA DELCHAIRA,2022-10-01,2,337.0,33908
CARTAGENA DELCHAIRA,2022-11-01,0,194.5,33908
CARTAGENA DELCHAIRA,2022-12-01,1,56.0,33908
CARTAGENA DELCHAIRA,2023-01-01,2,162.0,33908
CARTAGENA DELCHAIRA,2023-02-01,13,129.0,33908
CARTAGENA DELCHAIRA,2023-03-01,16,342.5,33908
CARTAGENA DELCHAIRA,2023-04-01,16,277.91666666666663,33908
CARTAGENA DELCHAIRA,2023-05-01,20,405.33333333333337,33908
CARTAGENA DELCHAIRA,2023-06-01,7,392.75,33908
CARTAGENA DELCHAIRA,2023-07-01,2,317.66666666666663,33908
CARTAGENA DELCHAIRA,2023-08-01,0,236.58333333333334,33908
CARTAGENA DELCHAIRA,2023-09-01,1,235.0,33908
CARTAGENA DELCHAIRA,2023-10-01,8,156.5,33908
CARTAGENA DELCHAIRA,2023-11-01,4,202.0,33908
CARTAGENA DELCHAIRA,2023-12-01,2,362.0,33908
EL PAUJIL,2018-01-01,0,140.7,20528
EL PAUJIL,2018-02-01,0,15.6,20528
EL PAUJIL,2018-03-01,1,211.5,20528
EL PAUJIL,2018-04-01,0,549.5,20528
EL PAUJIL,2018-05-01,0,404.0,20528
EL PAUJIL,2018-06-01,0,448.8,20528
EL PAUJIL,2018-07-01,0,216.6,20528
EL PAUJIL,2018-08-01,0,259.4,20528
EL PAUJIL,2018-09-01,0,123.0,20528
EL PAUJIL,2018-10-01,0,294.8,20528
EL PAUJIL,2018-11-01,0,123.8,20528
EL PAUJIL,2018-12-01,0,72.0,20528
EL PAUJIL,2019-01-01,0,133.5,20528
EL PAUJIL,2019-02-01,0,75.4,20528
EL PAUJIL,2019-03-01,0,507.6,20528
EL PAUJIL,2019-04-01,0,385.6,20528
EL PAUJIL,2019-05-01,0,355.8,20528
EL PAUJIL,2019-06-01,0,326.0,20528
EL PAUJIL,2019-07-01,1,296.2,20528
EL PAUJIL,2019-08-01,1,162.4,20528
EL PAUJIL,2019-09-01,2,285.0,20528
EL PAUJIL,2019-10-01,6,410.6,20528
EL PAUJIL,2019-11-01,6,286.4,20528
EL PAUJIL,2019-12-01,7,244.9,20528
EL PAUJIL,2020-01-01,20,50.3,20528
EL PAUJIL,2020-02-01,15,238.2,20528
EL PAUJIL,2020-03-01,22,158.5,20528
EL PAUJIL,2020-04-01,8,207.0,20528
EL PAUJIL,2020-05-01,2,464.0,20528
EL PAUJIL,2020-06-01,0,310.9,20528
EL PAUJIL,2020-07-01,0,319.1,20528
EL PAUJIL,2020-08-01,0,163.4,20528
